Deposit number,Lat.,Long.,Age (Ma),Erosion rate (km/My) ,Ind. depth e-rate (km/My),Modern MAP (mm),Slope (o) (90m),Slope (o) (10km),Frequency
1,-27.371,-66.28,5.5,0.36,0.36,221.12,30.85,28.03992055,4
2,-30.5,-69.75,12,0.17,-,145.96,15.04,19.50241106,6
3,-27.267,-66.65,8.5,0.24,-,221.12,10.78,9.288019219,4
4,-27.33,-66.609,7.5,0.27,0.34,221.12,5.75,13.38443799,4
5,-27.4,-66.55,7,0.29,-,221.12,17.31,19.76195111,4
6,-27.283,-66.567,8,0.25,-,221.12,6.78,11.50293099,4
7,-26.3,-67.9,14,0.14,-,63.68,0.75,8.178055584,6
8,-31.95,-70.05,13,0.15,-,277.84,16.74,24.99509394,7
9,-25.144,-66.763,15,0.13,-,85.40,23.93,11.3660379,3
10,-29,-67.75,4.4,0.45,-,167.40,25.80,25.15456503,3
11,-24.2,-65.867,15,0.13,-,135.52,4.16,11.22080278,2
12,-32.417,-69.083,14,0.14,-,169.20,6.73,11.14538303,6
13,-32.483,-69.1,14,0.14,-,169.20,4.76,11.99989174,6
14,-37.432,-70.467,45,0.04,-,515.88,22.75,17.13197456,2
15,-24.567,-67.783,29,0.07,-,39.96,5.92,8.789124927,6
16,-24.583,-67.733,31,0.06,-,39.96,0.34,3.750613506,6
17,38.922,46.188,39.5,0.05,-,394.16,25.54,22.65055031,5
18,40.633,44.517,33,0.06,-,485.92,13.54,17.80047203,3
19,39.375,46.023,22,0.09,-,542.28,18.89,17.88471689,5
20,39.144,46.138,22,0.09,0.07,394.16,13.75,23.65960922,5
21,39.05,46.05,40,0.05,-,394.16,33.04,26.59165191,5
22,42.117,25.25,33,0.06,-,586.00,0.42,1.152308901,5
23,55.003,-126.23,52.5,0.04,0.02,525.12,2.97,6.526731798,8
24,53.804,-127.44,49.5,0.04,0.04,857.60,25.64,24.70690836,6
25,54.81,-126.89,52.5,0.04,-,587.60,18.06,12.11530102,8
26,49.256,-125.98,36,0.06,-,2590.20,50.27,15.83418877,1
27,55.248,-126.17,50,0.04,-,525.12,2.97,6.891525643,8
28,54.946,-126.16,51,0.04,0.02,499.12,30.01,3.657541633,8
29,50.924,-121.42,61,0.03,-,424.16,0.98,13.55150694,10
30,55.194,-126.32,50,0.04,0.02,525.12,7.07,7.765151384,9
31,50.047,-124.64,36,0.06,-,1116.60,11.63,13.76155573,3
32,51.133,-122.61,56.5,0.04,-,429.08,15.90,12.72664555,6
33,-23.163,-69.168,44,0.05,-,7.12,6.75,4.514291398,12
34,-27.783,-69.233,14,0.14,-,62.76,25.89,17.21814224,4
35,-20.045,-69.26,52,0.04,-,4.56,17.26,9.189753984,7
36,-24.133,-69.083,37,0.05,-,19.12,11.45,6.41453022,11
37,-22.275,-68.9,33,0.06,-,28.16,23.62,9.946346918,12
38,-20.963,-68.708,32,0.06,-,47.48,4.71,8.254552275,11
39,-21.954,-68.736,36,0.06,-,28.16,3.13,6.652055595,12
40,-20.902,-68.885,35,0.06,-,47.48,13.64,15.19582963,10
41,-21.921,-68.832,36,0.06,-,28.16,7.28,12.26356931,12
42,-26.254,-69.551,42,0.05,-,17.92,35.13,11.56522051,4
43,-22.988,-69.076,29,0.07,-,23.08,5.65,3.305869502,13
44,-34.089,-70.463,5.4,0.37,-,571.80,5.03,14.89618117,2
45,-24.265,-69.072,37,0.05,-,21.28,33.39,5.80056531,10
46,-22.967,-69.058,41,0.05,-,23.08,1.05,3.148633443,13
47,-23.411,-68.819,42,0.05,-,19.12,2.55,2.292149561,12
48,-26.766,-69.871,63,0.03,-,35.96,3.17,4.616779957,4
49,-28.633,-69.883,33.5,0.06,-,106.88,21.71,15.58685835,4
50,-20.175,-69.083,31,0.06,-,89.40,25.88,18.91281611,7
51,-23.445,-69.512,57.5,0.03,-,7.48,22.64,8.214308495,11
52,-33.133,-70.267,4.7,0.43,-,371.76,31.81,25.27963762,5
53,-31.708,-70.5,9.5,0.21,-,277.84,34.19,19.62078802,7
54,-22.564,-69.242,64,0.03,-,7.12,7.85,3.970479091,12
55,-22.381,-68.912,33.5,0.06,-,28.16,1.41,3.888372394,12
56,-19.81,-69.281,58,0.03,-,30.36,11.57,16.73378913,6
57,-22.467,-68.967,35.5,0.06,-,28.16,2.53,3.255765919,13
58,-26.488,-69.424,36.5,0.05,-,17.92,24.96,18.24431967,4
59,-21,-68.8,36,0.06,0.04,47.48,14.78,10.65762869,11
60,-19.867,-68.967,36,0.06,-,163.88,11.67,12.29322108,6
61,-28.5,-70.3,64,0.03,-,54.56,19.33,17.70439629,3
62,-22.881,-69.339,63.5,0.03,-,7.12,7.83,3.048185812,12
63,-22.839,-69.303,57.3,0.03,-,7.12,1.37,2.084810005,12
64,-22.417,-68.95,38,0.05,-,28.16,2.04,4.907913819,12
65,-20.993,-68.637,35,0.06,-,47.48,12.81,8.658668985,11
66,-32.883,-70.233,11.2,0.18,-,371.76,36.52,31.31859891,6
67,26.15,100.2,37,0.05,-,987.16,6.29,14.12301227,2
68,22.8,103,36,0.06,-,1349.80,38.33,27.95734686,1
69,29.583,90,13.7,0.15,-,255.20,37.06,27.38544994,4
70,29.383,88.383,14,0.14,-,278.96,26.55,23.75551223,3
71,31.083,97.867,36,0.06,0.06,519.92,22.85,20.21250027,6
72,30.467,98.5,43.5,0.05,-,531.68,25.53,15.64680943,5
73,22.883,102.58,37.3,0.05,-,1349.80,34.42,24.8591415,1
74,31.483,97.35,42,0.05,-,511.84,26.24,25.23580061,6
75,29.692,91.752,15,0.13,-,288.20,31.55,25.40191259,3
76,29.917,98.583,40.7,0.05,-,544.48,16.18,14.48180066,5
77,29.583,91.483,14,0.14,-,329.12,14.54,24.63131593,3
78,25.667,100.5,36,0.06,-,1001.50,26.48,12.29750037,1
79,31,97.95,36.5,0.05,0.06,519.92,27.51,19.7910828,6
80,29.833,98.533,38,0.05,-,544.48,20.06,13.38470292,5
81,31.2,97.8,37.5,0.05,0.06,519.92,16.85,19.42837389,6
82,29.467,90.817,14.7,0.14,-,267.28,18.67,26.03585863,4
83,29.6,91.583,16,0.13,-,329.12,33.88,20.25010752,3
84,32.15,96.767,41.9,0.05,-,511.24,26.12,23.74749869,4
85,30.033,98.517,36,0.06,-,531.68,11.59,15.34063783,5
86,29.55,90.05,15.5,0.13,-,267.28,31.06,18.41049228,4
87,31.683,97.133,46,0.04,-,511.24,19.96,23.75455693,5
88,27.4,101.13,32,0.06,-,985.96,6.92,22.27873301,2
89,31.4,97.733,40.7,0.05,0.04,519.92,3.76,17.1920073,6
90,31.25,97.733,38.5,0.05,0.06,519.92,20.39,18.53192371,6
91,8.4878,-77.321,48,0.04,-,2058.00,0.99,6.591665312,2
92,7.05,-76.75,55,0.04,-,3878.30,2.26,2.917523346,2
93,6.7,-76.5,43,0.05,-,2948.50,6.37,7.015977368,1
94,2.1,-76.883,17,0.12,-,2269.00,3.88,17.00347922,1
95,20.142,-75.95,52,0.04,-,1235.70,6.12,7.366017844,1
96,-1.6667,-79.15,20,0.10,-,954.96,8.82,23.41567617,3
97,-1.3833,-79.117,20,0.10,-,951.24,33.71,26.95669769,3
98,-2.9333,-79.417,11,0.18,0.23,876.40,22.07,26.83938792,8
99,-3.5833,-79.333,9.6,0.21,-,1049.40,26.89,19.78347012,8
100,-3.05,-79.683,19,0.11,0.11,876.40,21.95,19.39375819,8
101,0.33333,-78.583,6.5,0.31,-,2235.60,11.18,18.14981854,2
102,-4.2,-79.583,14,0.14,-,971.20,22.65,17.62606525,8
103,-1.5667,-79.133,15,0.13,-,951.24,15.92,24.40146181,3
104,-18.042,178.18,5.6,0.36,-,2641.80,19.12,15.38334191,1
105,-18.107,178.18,6,0.33,-,2641.80,4.74,14.17990263,1
106,39.812,25.192,21,0.10,-,517.88,14.18,4.103605417,2
107,41.023,25.788,23.5,0.09,-,595.92,11.83,11.81139837,5
108,40.867,25.555,29,0.07,-,595.92,5.66,7.256817353,4
109,40.472,23.704,19,0.11,-,494.12,1.30,11.95679375,5
110,47.91,19.048,14,0.14,-,596.80,2.30,5.56272505,2
111,47.933,20.1,35.5,0.06,0.04,555.52,3.57,7.351278607,2
112,-8.9653,116.87,3.7,0.54,-,1770.90,4.06,17.68641306,1
113,0.95194,121.77,8.75,0.23,-,2268.40,21.31,21.01167096,1
114,-7.22,106.56,3.1,0.65,-,3596.10,8.29,5.887982281,1
115,-3.8167,137.23,3,0.67,0.67,3391.00,11.75,22.22158633,1
116,-3.6117,128.09,3.55,0.56,-,2652.70,4.37,10.88227819,1
117,-3.1583,119.48,10.6,0.19,-,2620.50,17.27,14.39100491,1
118,5.0333,95.95,11,0.18,-,1966.60,19.38,13.77291728,1
119,0.51667,123.22,3.75,0.53,-,1568.10,1.96,13.54851463,2
120,0.34528,123.4,3,0.67,-,1785.70,22.44,17.63153221,1
121,31.659,53.85,16,0.13,-,114.12,3.71,6.812424251,2
122,34.55,49.267,14.9,0.13,-,279.84,5.14,2.813703552,1
